tmdb_id,release_date
2959,2007-07-04
96724,2012-09-06
9293,2006-07-27
10066,2005-05-05
10313,2009-10-17
11812,2002-04-12
18162,2009-06-05
1251,2006-12-09
10715,2003-11-14
7211,2007-10-26
9378,2001-10-26
9009,2005-07-08
2055,2003-08-11
12180,2008-08-05
80035,2012-07-26
83666,2012-05-16
10559,2000-04-28
55931,2003-05-09
22894,2010-01-21
27579,2010-08-31
2313,2005-09-21
3172,2001-10-12
43539,2010-11-18
201,2002-12-13
8968,2005-02-04
44564,2011-01-13
10053,2006-02-03
42684,2010-11-11
103370,2012-06-29
1266,2008-04-10
11397,2001-12-07
23172,2010-01-15
5123,2007-11-21
3132,2002-06-07
3683,2006-10-19
1792,2003-12-10
1921,2001-02-16
12763,2006-03-17
8665,2002-07-19
2207,2006-03-01
26594,2006-03-26
7270,2003-09-12
11081,2004-03-19
6589,2007-08-03
49022,2011-05-05
6795,2005-11-06
21301,2004-01-20
9957,2006-04-07
8848,2008-02-28
4515,2007-10-22
23048,2010-03-26
11802,2008-06-25
71469,2011-12-22
2140,2001-07-06
14292,2004-02-06
8780,2008-04-25
8054,2009-10-01
9012,2002-10-25
50456,2011-04-07
11560,2002-04-05
68817,2011-10-06
37430,2011-08-17
16781,2006-02-24
11351,2003-08-08
13691,2003-03-16
2309,2008-12-11
1683,2007-04-04
11983,2000-12-08
10028,2003-12-05
15489,2000-02-11
17610,2009-06-18
21972,2002-07-03
10468,2000-04-06
1997,2004-04-07
1722,2001-04-18
326,2006-08-17
14175,2005-03-25
22832,2009-09-29
59,2005-09-23
1901,2004-12-29
10589,2004-11-12
13416,2004-10-08
17130,2002-02-15
4474,2006-07-20
1887,2006-05-24
19913,2009-07-17
9398,2001-09-28
35688,2010-04-02
49948,2000-01-01
470,2003-09-06
504,2003-12-24
39486,2010-08-20
11439,2010-02-12
4959,2009-02-03
38357,2010-11-10
4967,2000-04-14
10214,2005-02-11
10471,2000-01-12
10030,2007-09-21
121826,2012-12-26
889,2000-04-28
80585,2012-06-13
51828,2011-03-02
8922,2001-07-01
10934,2003-09-20
10923,2003-03-14
11648,2005-07-21
10172,2007-04-04
9678,2000-11-10
14164,2009-03-12
8814,2005-10-20
9030,2008-02-01
5137,2004-09-17
11460,2005-08-10
20856,2009-07-30
11652,2006-08-25
10833,2001-03-23
49021,2011-09-22
87428,2012-06-14
9759,2004-09-06
13497,2002-12-13
8999,2005-11-11
5876,2007-11-21
11358,2004-04-02
9655,2006-03-17
9392,2005-07-08
7516,2006-12-09
11892,2002-04-19
9947,2005-01-13
10623,2003-02-28
2749,2001-03-01
186,2006-02-24
1360,2002-08-29
5915,2007-09-21
2252,2007-09-14
9981,2005-05-13
71864,2012-08-15
23169,2010-03-11
61012,2012-10-10
17202,2007-10-12
10647,2000-10-20
23742,2010-02-26
18736,2003-05-02
2116,2003-10-03
2539,2004-12-17
8390,2008-02-08
20694,2003-06-13
82633,2012-08-29
2637,2002-01-25
64685,2011-12-25
9906,2006-07-28
77016,2012-09-20
9966,2007-02-02
2001,2007-10-12
9932,2002-12-06
29427,2010-02-26
76489,2012-04-13
